,beer_style,beer_count,review_count,review_avg
0,American IPA,3588,117586,3.9652211998026976
1,American Pale Ale (APA),3320,63469,3.852305850100049
2,American Amber / Red Ale,2489,45751,3.7810102511420514
3,American Porter,2181,50477,3.8957346910474078
4,Fruit / Vegetable Beer,1833,33861,3.415123593514663
5,Hefeweizen,1713,27908,3.9296259137164973
6,American Double / Imperial IPA,1546,85977,3.998016911499587
7,English Bitter,1486,8787,3.784055991806077
8,Euro Pale Lager,1479,18015,3.2027754648903692
9,American Stout,1418,24538,3.865310946287391
10,German Pilsener,1370,22155,3.7315730083502596
11,Saison / Farmhouse Ale,1277,31480,3.962563532401525
12,Belgian Pale Ale,1273,19354,3.8199338638007645
13,Witbier,1248,30140,3.7768911745189118
14,American Blonde Ale,1177,12726,3.5917413169888417
15,American Adjunct Lager,1140,30749,3.001658590523269
16,English Pale Ale,1135,23402,3.686565250833262
17,MÃ¤rzen / Oktoberfest,1131,23523,3.772690558177103
18,American Pale Wheat Ale,1079,24204,3.646917864815733
19,American Brown Ale,1076,25297,3.857433687789066
20,Extra Special / Strong Bitter (ESB),1011,17212,3.847025331164304
21,American Double / Imperial Stout,933,50705,4.029819544423627
22,English Brown Ale,871,19532,3.762133934056932
23,Russian Imperial Stout,862,54129,4.023083744388406
24,Belgian Strong Pale Ale,844,31490,3.8956017783423307
25,American Barleywine,830,26728,3.896756210715355
26,Czech Pilsener,808,12740,3.794662480376766
27,Tripel,797,30328,3.914287127407017
28,Belgian Strong Dark Ale,763,37743,3.913321675542485
29,Herbed / Spiced Beer,761,10337,3.470929670117055
30,American Strong Ale,742,31945,3.873501330411645
31,American Wild Ale,719,17794,4.0932617736315615
32,Oatmeal Stout,703,18145,3.9416919261504546
33,Doppelbock,690,21699,3.8728051983962395
34,Scotch Ale / Wee Heavy,674,17441,3.8742617969153144
35,Bock,672,11528,3.6478140180430256
36,Winter Warmer,633,20661,3.7039349499056193
37,Light Lager,620,14311,2.6988330654741106
38,Maibock / Helles Bock,597,10611,3.8291866930543774
39,Scottish Ale,586,9133,3.777948100295631
40,Munich Dunkel Lager,572,7941,3.714078831381438
41,English India Pale Ale (IPA),570,15959,3.732470706184598
42,KÃ¶lsch,557,8442,3.7896233120113716
43,Dubbel,555,19983,3.9217334734524347
44,American Pale Lager,553,9099,3.4089460380261567
45,Altbier,549,7741,3.824053739826896
46,Irish Dry Stout,519,12595,3.782334259626836
47,Munich Helles Lager,517,7870,3.869440914866582
48,English Porter,500,11200,3.9179464285714287
49,Dunkelweizen,499,7122,3.856781802864364
50,Rye Beer,492,10130,3.9817374136229025
51,Schwarzbier,478,9826,3.835029513535518
52,Irish Red Ale,462,7877,3.6897295924844484
53,American Black Ale,454,11446,3.934474925738249
54,Pumpkin Ale,450,15550,3.619646302250804
55,Milk / Sweet Stout,441,13166,3.892526203858423
56,Vienna Lager,430,8954,3.762564217109672
57,Belgian Dark Ale,427,6542,3.7473249770712322
58,English Dark Mild Ale,418,2314,3.837510803802939
59,English Barleywine,391,13731,3.850593547447382
60,English Stout,361,3018,3.7481776010603047
61,American Amber / Red Lager,360,9311,3.5646010095585865
62,Cream Ale,355,5138,3.6022771506422733
63,Baltic Porter,354,11572,3.955409609402005
64,Old Ale,348,14703,3.899000204039992
65,Euro Dark Lager,320,4657,3.412926776894997
66,Dortmunder / Export Lager,320,4440,3.833108108108108
67,Weizenbock,311,9412,4.00796855078623
68,Keller Bier / Zwickel Bier,311,2591,3.981088382863759
69,English Strong Ale,306,4799,3.7832881850385496
70,Belgian IPA,302,12471,3.9587041937294525
71,Lambic - Fruit,284,10950,3.8922831050228313
72,Euro Strong Lager,275,2724,2.862518355359765
73,Smoked Beer,250,2986,3.7582049564634965
74,BiÃ¨re de Garde,249,6729,3.8802942487739633
75,California Common / Steam Beer,240,4038,3.8478207033184746
76,Quadrupel (Quad),202,18086,4.07162999004755
77,Foreign / Export Stout,201,5972,3.877679169457468
78,Rauchbier,179,3962,3.7945482079757697
79,Low Alcohol Beer,162,1201,2.5782681099084095
80,American Double / Imperial Pilsner,151,5435,3.8586936522539097
81,English Pale Mild Ale,146,700,3.657857142857143
82,Flanders Red Ale,145,6664,3.992722088835534
83,American Malt Liquor,145,3925,2.678853503184713
84,Flanders Oud Bruin,144,4995,3.9025025025025024
85,Chile Beer,133,2286,3.1132983377077865
86,Kristalweizen,126,2204,3.720508166969147
87,Wheatwine,123,3714,3.8155627355950457
88,American Dark Wheat Ale,116,1470,3.6438775510204082
89,Berliner Weissbier,114,3475,3.9011510791366906
90,Gueuze,94,6009,4.086287235812947
91,Scottish Gruit / Ancient Herbed Ale,84,2751,3.6868411486732096
92,Black & Tan,77,2358,3.4868532654792195
93,Lambic - Unblended,71,1114,4.048922800718133
94,Happoshu,71,241,2.9149377593360994
95,Roggenbier,70,466,3.948497854077253
96,Eisbock,69,2663,3.977093503567405
97,Braggot,66,1040,3.652403846153846
98,Japanese Rice Lager,55,1546,3.119987063389392
99,Kvass,44,297,3.355218855218855
100,Gose,33,686,3.9650145772594754
101,Sahti,28,1061,3.700282752120641
102,BiÃ¨re de Champagne / BiÃ¨re Brut,20,1046,3.6481835564053537
103,Faro,19,609,3.6001642036124797
