,Brewery,brewery_id,review_overall,latitude,longitude,google_rating
1,16 Mile Brewing Company,20688,3.57,38.67881819999999,-75.378136,4.6
3,192 Brewing Company,22972,1.83,47.756803,-122.242008,4.1
6,21st Amendment Brewery,735,3.7,37.7824704,-122.3925119,4.3
7,23rd Street Brewery,9167,3.9,38.9430226,-95.2810662,4.3
8,2nd Shift Brewery,24428,3.77,38.6214925,-90.2807608,4.8
11,3 Stars Brewing Company,25696,3.17,38.967491,-77.012626,4.6
14,4th Street Brewing Company,3087,3.58,45.479688,-122.402233,5
16,5 Rabbit Cerveceria,25544,3.6,41.75796,-87.7802121,4.7
18,508 Gastrobrewery,25860,4.25,40.7257239,-74.00940229999999,3.4
21,7 Seas Brewery and Taproom,20658,3.58,47.2421769,-122.4388206,4.6
22,75th Street Brewery,2143,3.6,38.9926366,-94.5960459,4.4
25,A1A Aleworks,3972,3.49,29.8921778,-81.3111733,4.1
43,Aiken Brewing Company,9035,4.06,33.5602765,-81.7226898,4.3
45,Airways Brewing Company,22536,3.76,47.411573,-122.2248399,4.6
50,Alameda Brewhouse,2980,3.91,45.548459,-122.6136389,3.9
54,Ale Asylum,13837,3.93,43.120465,-89.354151,4.2
56,Ale Industries,19890,3.6,37.776209,-122.2281964,4.7
57,AleSmith Brewing Company,396,4.17,32.888186,-117.1498484,4.7
59,All Stars Bakery,16991,3.46,43.7884986,-79.4735867,4
60,Allagash Brewing Company,4,4.06,43.7031477,-70.3176931,4.8
62,Allentown Brew Works,16096,3.6,40.601427,-75.474139,4.4
65,Alligator Brewing Company,25133,4.0,29.6503718,-82.3245663,4.1
66,Alpine Beer Company,3120,4.21,32.8351644,-116.7626535,4.7
67,Alpine Brewing Company,1586,3.74,32.8351644,-116.7626535,4.7
76,Ambacht Brewing,21834,3.97,45.5326342,-122.9562204,4.9
79,American Brewing Company,24831,3.59,47.808894,-122.3869787,4.4
80,American Honor Beer Company,26529,3.07,41.255056,-75.8576104,0
81,Amerisports Brew Pub,2423,3.5,39.1505551,-94.48476110000001,4.1
82,Amicas,11006,3.92,38.5356,-105.992075,4.6
83,Amnesia Brewing,9685,3.82,45.578277,-122.351972,3.8
85,Amsterdam Brewing Company,769,3.48,43.7064069,-79.3566532,4.3
86,Anacapa Brewing Company,3965,3.58,34.2806759,-119.2935844,4.4
88,Anaheim Brewery,25926,3.67,33.8327523,-117.9124608,4.4
91,Ancient Lakes Brewing Company,26409,3.5,47.2514958,-119.9464063,1
92,Anderson Valley Brewing Company,193,3.87,39.0011005,-123.3559362,4.8
95,Angel City Brewing,1011,3.16,34.0462613,-118.237693,4.5
97,Angry Cedar Brewing Company,23223,2.8,42.7081294,-92.4803577,0
98,Angry Minnow Brewpub,11241,3.65,46.0105497,-91.4888447,4.3
102,Apex Brewing Company,9570,4.25,38.831123,-121.1881255,4.5
103,Appalachian Brewing Company,18968,3.75,40.2657797,-76.8754597,4.3
107,Arcadia Brewing Company,454,3.67,42.2953297,-85.57120069999999,4.4
110,Argus Brewery,22920,3.32,41.6885567,-87.61203719999999,4.7
112,Armadillo Ale Works,25668,4.25,33.212759,-97.128081,4.7
119,Asher Brewing Company,21982,3.31,40.058659,-105.206043,4.4
120,Asheville Brewing Company,11597,3.76,35.622105,-82.553709,4.6
122,Ass Clown Brewing,25730,4.04,35.4575426,-80.8548588,4.7
126,Atlantic Brewing Company,378,3.64,44.3997539,-68.3336473,4.5
127,Atlas Brewery Ltd,3401,3.77,38.914857,-76.98143499999999,4.5
129,Atomic Ale Brewpub And Eatery,9538,2.8,46.2745529,-119.2773327,4.3
134,August Schell Brewing Company,417,3.82,44.2896307,-94.44897379999999,4.7
135,Augusta Brewing Company,3777,3.72,38.5703217,-90.88039169999999,3.9
136,Austin Beerworks,25667,3.84,30.379575,-97.72984799999999,4.7
140,Avalon Brewing,2582,3.5,39.0638185,-74.7479232,3.9
141,Avery Brewing Company,30,3.81,40.0625629,-105.2047427,4.6
143,Aviator Brewing Company,18635,3.86,35.6197983,-78.8085238,4.1
144,Avondale Brewing Company,25916,4.38,33.5245451,-86.7741712,4.7
147,Azalea Coast Brewery,12362,2.88,32.8735877,-79.9720038,4.7
148,Aztec Brewing Company,27632,3.72,33.1496945,-117.2299346,4.5
154,Back Road Brewery,668,3.6,41.611426,-86.72734450000002,4.6
