,index,Google Name,Latitude,Longitude,Google Rating,Yelp Name,Yelp Rating,Yelp Review Count,Average Rating
0,0,Birreria Il Vecchio Birraio,45.5509046,11.8284632,4.3,Vecchio Arzere,4.0,1,4.15
1,1,Caldera Brewery & Restaurant,42.1819009,-122.662854,4.5,Caldera Brewery & Restaurant,4.0,397,4.25
2,2,Broad Ripple Brewpub,39.8735658,-86.1428589,4.4,Broad Ripple Brewpub,3.5,313,3.95
3,3,Moon River Brewing Company,32.080962,-81.09203,3.9,Moon River Brewing Company,3.0,1162,3.45
5,5,Conwy Brewery Ltd,53.2836814,-3.6763056,4.5,Public Coast Brewing Company,3.5,209,4.0
6,6,Public Coast Brewing Co,45.9007735,-123.9590522,4,San Francisco Brewing,3.5,102,3.75
8,8,San Francisco Brewing Co.,37.8058697,-122.4230558,4.1,7 Seas Brewing,4.0,132,4.05
9,9,Yazoo Brewing Company,36.151225,-86.782068,4.5,Calapooia Brewing Company,4.0,147,4.25
11,11,Calapooia Brewing,44.6392607,-123.0940026,4.3,Klášterní Pivovar Želiv,5.0,1,4.65
14,14,Hokusetsu Sake Brewery,37.870728,138.4136249,4.6,Finger Lakes Beer Company,4.0,16,4.3
15,15,BERNARD Family Brewery Inc.,49.539955,15.359784,4.8,Hi-Wire Brewing,4.0,156,4.4
16,16,The Isle Of Skye Brewing Co Ltd,57.5867774,-6.3777137,4.3,Brauerei Neder,4.5,4,4.4
17,17,Brauhaus Lemke am Hackeschen Markt,52.5232602,13.4047005,4.1,NoDa Brewing Company,4.5,273,4.3
20,20,Finger Lakes Beer Co,42.3994396,-77.2260209,4.4,Great South Bay Brewery and Tasting Room,4.5,143,4.45
22,22,Craggie Brewing Co,35.591408,-82.555938,4.8,The Hoppy Brewer,4.5,55,4.65
23,23,Brauerei Neder GmbH,49.7201915,11.057096,4.4,Brauerei Schmitt,4.5,3,4.45
25,25,NoDa Brewing Company,35.25157,-80.812472,4.7,Crescent City Brewhouse,3.5,783,4.1
26,26,White Bluffs Brewing LLC,46.3199895,-119.2998005,4.8,Pivovar Groll,2.5,2,3.65
29,29,Great South Bay Brewery,40.761074,-73.263452,4.6,Cambridge Brewing Company,3.5,659,4.05
30,30,1850 Restaurant and Brewery,37.489689,-119.969993,4.4,Fulton Brewery,4.0,152,4.2
31,31,4th Street Brewing Company Gresham,45.479688,-122.402233,5,Wasatch Brew Pub,3.5,364,4.25
33,33,Hotelpark Stadtbrauerei Arnstadt,50.82729,10.95328,4.2,La Gasthaus,4.0,1,4.1
36,36,Ohio Brewing Company,41.1375723,-81.482935,3.8,Mt Tabor Brewing - The Pub,3.5,138,3.65
37,37,Crescent City Brewhouse,29.9557192,-90.0639107,4.2,Marco Island Brewery,3.5,169,3.85
38,38,Soukromý pivovar GROLL,49.7503849,13.3807738,4,River Roost Brewing,5.0,15,4.5
39,39,Piniavos alutis,55.782882,24.3567631,5,Brauerei Aldersbach,4.5,2,4.75
40,40,Les Sarments,48.9555789,4.3627068,4.2,Anacapa Brewing,4.0,437,4.1
42,42,Cambridge Brewing Company,42.366361,-71.09128299999999,4.2,Cidrerie Paul Coic,5.0,2,4.6
43,43,Fulton Brewing Taproom,44.9849296,-93.2792028,4.6,The Two Metre Tall Company,4.0,1,4.3
44,44,Wasatch Brew Pub,40.7249938,-111.8597991,4.3,Brew Wild Pizza Bar,4.5,8,4.4
48,48,Birrificio Indipendente Elav,45.6156547,9.6586401,4.6,Fernandes Brewery Tap & Bier Keller,5.0,7,4.8
49,49,Catawba Brewing Company Downtown Morganton,35.744672,-81.68567399999999,4.4,Pensacola Bay Brewery,4.0,78,4.2
51,51,Cooperstown Brewing Co,42.588861,-74.941396,4.4,Goldhopfen,4.5,3,4.45
59,59,Salt hill Pub - West Leb,43.6306012,-72.3198991,4.4,McMenamins Queen Anne,3.5,284,3.95
60,60,Brauerei Aldersbach,48.5872323,13.0850719,3.9,The Bridge Pub,3.0,2,3.45
62,62,Anacapa Brewing Company,34.2806759,-119.2935844,4.4,Swan Brewing,4.5,35,4.45
63,63,Kolding Bryglaug,55.4896962,9.4752684,0,Brauereigasthaus Hartmann - Restaurant & Biergarten,4.0,24,2.0
64,64,Britt Brasserie de Bretagne,47.859065,-3.870567,4.3,Magic Rock Brewing Company,5.0,1,4.65
65,65,Two Metre Tall Farmhouse Ale & Cider,-42.7306935,146.9604464,4.8,Dark Star Brewing Co,5.0,1,4.9
66,66,Restaurante Cervecería Naturbier,40.4144,-3.700737999999999,3.4,Hog Haus Brewing Company,3.0,100,3.2
70,70,Revision Brewing Company,39.531165,-119.765523,4.7,Tighthead Brewing Company,4.5,100,4.6
71,71,Brasserie Craig Allan,49.57886269999999,2.8328969,4.8,Desert Edge Pub & Brewery,3.5,210,4.15
72,72,The Ship Inn,53.5976747,-2.8298845,4.5,Florida Beer,4.5,72,4.5
73,73,Fernandes Brewery,53.6802917,-1.4928798,4.6,Flying Fish Brewing Co,4.0,72,4.3
75,75,Pensacola Bay Brewery,30.4087113,-87.2102149,4.6,Breaker Brewing Company,4.5,83,4.55
76,76,Lido Leisure Centre,56.92720319999999,24.1602197,4.5,Restaurace Pivovarský dvůr Zvíkov,4.0,3,4.25
77,77,Brauhaus an der Thomaskirche,51.3392913,12.3737277,3.7,Terminal Gravity Brewing,4.0,111,3.85
78,78,Mad Squirrel Brewery Shop,51.7591401,-0.5602469999999999,4.7,Roslyn Brewing Company,4.0,28,4.35
79,79,Sternquell-Brauerei GmbH,50.4982041,12.1242607,4.9,Badger Mountain Brewing,4.0,26,4.45
81,81,Raw Brewing,53.26006,-1.3500531,0,Brauerei Johann Aukofer,5.0,1,2.5
82,82,Brasserie Artisanale de La Divatte,47.28037,-1.3736557,4.5,Triple F Brewing Co,5.0,1,4.75
83,83,Brasserie de la Baie SARL,48.63119709999999,-1.4326948,4.8,Bierhalle - Manufaktura,4.0,2,4.4
84,84,Kirkwood Station Brewing Company,38.5825304,-90.4058179,3.5,Brauerei Hoh,3.5,6,3.5
85,85,Vertigo Brewing LLC,45.531754,-122.895633,4.8,Bryggeriet Flakhaven,3.5,5,4.15
86,86,McMenamins Queen Anne,47.6255374,-122.3517889,4.2,Bar San Domenico,2.0,1,3.1
87,87,BrewFist - Niubru Srl,45.156842,9.67296,4.5,Canoe Brewpub Marina & Restaurant,3.5,172,4.0
88,88,Dostal Alley Casino & Brew Pub,39.8001831,-105.5124983,4,The Green Mansion,4.0,12,4.0
89,89,Swan Brewing,28.0461385,-81.9580824,4.7,Pico Mousse,3.5,3,4.1
90,90,Brauerei-Gasthof Hartmann,49.9791286,11.0898405,4,Zerodegrees,4.0,48,4.0
91,91,Mallinson's Brewing Co,53.63722509999999,-1.7896638,5,Stadtbrauerei Spalt,5.0,2,5.0
93,93,Chapeau Brewery,51.07072059999999,-0.3078049,4.7,Bierhalle - Manufaktura,4.0,2,4.35
94,94,Hog Haus Brewing Co.,36.0666477,-94.1652355,3.6,West Flanders Brewing Company,3.5,343,3.55
97,97,Castlebay Irish Pub,38.9778893,-76.4908743,4.4,La Bottega dei Sapori,4.5,2,4.45
99,99,Tighthead Brewing Company,42.2659618,-87.9987469,4.8,Solvang Brewing Company,3.5,1100,4.15
100,100,Desert Edge Brewery at The Pub,40.757256,-111.8730339,4,Mornington Peninsula Brewery,4.5,4,4.25
105,105,Flying Fish Brewing Company,39.8538279,-75.0202372,4.7,Göcklinger Hausbräu,4.5,2,4.6
106,106,Bierbrouwerij Oijen,51.81022919999999,5.530725899999999,4.4,Gallo D'oro,4.0,1,4.2
107,107,Benny Brewing Co.,41.22255630000001,-75.94052590000001,4.6,Bräustüberl Berchtesgaden,4.0,40,4.3
108,108,Pivovarský dvůr Zvíkov,49.43093510000001,14.1985524,4,Kapsreiter Bräustüberl,4.0,2,4.0
109,109,Terminal Gravity Brewery & Pub,45.418772,-117.271236,4.6,Craig Street Brew Pub,4.0,6,4.3
111,111,Roslyn Brewing Company,47.222051,-120.994933,4.6,Alley Kat Brewing,4.5,20,4.55
113,113,Ancient Lakes Brewing Company,47.2514958,-119.9464063,1,Krušovice Brewery,5.0,1,3.0
115,115,The Cannon Brew Pub,32.4663506,-84.9936999,4.3,Brygghuset,4.0,1,4.15
116,116,Klosterbrauerei Weltenburg GmbH,48.89861,11.8195553,4.1,Odd Side Ales,4.0,152,4.05
117,117,Flower Pots Inn,51.050891,-1.172522,4.4,Brouwerij West,4.5,249,4.45
118,118,Sulimar sp. z o.o.,51.37790829999999,19.6767175,4.5,Brasserie des Fagnes,4.5,3,4.5
119,119,Brauerei Drei Kronen 1308 GmbH,49.9594286,11.0005967,0,HK Brewcraft,4.5,9,2.25
120,120,Bryggeriet Refsvindinge,55.291022,10.70274,4.8,Frog Island Brewery,5.0,1,4.9
122,122,Piccolo Birrificio Clandestino,43.5579371,10.3137067,4.7,Fur Bryghus,2.0,1,3.35
123,123,CANOE Brewpub,48.4296485,-123.3710216,4.3,Rocky River Brewing Company,3.5,207,3.9
125,125,Green Man Brewery,35.5886596,-82.55245839999999,4.5,Belmont Brewing,3.5,1378,4.0
126,126,Ninkasi Fabriques,45.7156185,4.8650888,4,De Dolle Brouwers,5.0,4,4.5
128,128,Stadtbrauerei Spalt,49.17434,10.92523,4.4,Crow Peak Brewing Company,4.5,29,4.45
131,131,Pub de la Brasserie Dunham,45.13046500000001,-72.800523,4.4,Union Jack,3.0,1,3.7
132,132,Browar Staropolski,51.59834799999999,18.935353,4.5,Quintine,4.0,1,4.25
134,134,Squared Pizza + Beer,40.017013,-105.280475,4.5,Braugasthof Grosch,4.0,21,4.25
136,136,Brouwerij Nacional Balashi,12.4810023,-69.9816341,4.2,Bryghuset No 5 ApS ,3.5,3,3.85
137,137,Seven Brides Brewing,45.014014,-122.7850439,4.2,Big River Grille & Brewing Works,2.5,318,3.35
139,139,Birrificio Scarampola,44.3700276,8.2012913,4.8,Magic Rock Tap,4.0,1,4.4
140,140,Harar Brewery Restaurant,9.3004921,42.1261807,2.7,Brauhaus Felsenkeller,4.0,16,3.35
141,141,Solvang Brewing Company,34.59631359999999,-120.1436389,3.9,Fur Bryghus,2.0,1,2.95
143,143,Mornington Peninsula Brewery,-38.2325552,145.0568149,4.2,Brauhaus Zum Rammelsberg,4.0,33,4.1
144,144,Outer Banks Brewing Station,36.0095201,-75.65924700000001,4.1,Blue Pants Brewery,4.0,26,4.05
145,145,Tenaya Creek Brewery,36.176621,-115.1534972,4.6,Bohemia Regent,4.5,3,4.55
146,146,La Taberna de La Muralla,23.1357056,-82.3502547,3.5,Creemore Springs Brewery,4.0,12,3.75
147,147,"Pivovar Nová Paka, A.s.",50.4873581,15.5241861,4.8,Dogfish Head Craft Brewery,4.5,271,4.65
151,151,. Landauer Brauhof,49.19901,8.11965,0,Bendito Malte,4.0,1,2.0
155,155,Croce di Malto,45.4338404,8.741110599999999,4.8,Mill Valley Beerworks,3.5,378,4.15
