,index,Google Name,Latitude,Longitude,Google Rating,Yelp Name,Yelp Rating,Yelp Review Count,Average Rating
0,0,Stanford Blood Draw at Hoover Pavilion,37.44151069999999,-122.1685813,4.8,Dan Gordon's,3.5,295,4.15
1,1,Court Avenue Restaurant & Brewing Company,41.5853134,-93.6209765,4.3,Court Avenue Restaurant & Brewing,3.5,244,3.9
2,2,Moylan's Brewing Company,38.0940901,-122.5567687,4.2,Moylan's Brewery & Restaurant,3.5,472,3.85
3,3,Manayunk Brewing Company,40.0225428,-75.2190327,3.9,Manayunk Brewery,3.5,567,3.7
4,4,Microbrasserie La Chouape,48.65200859999999,-72.4448723,4.7,Le Coureur des Bois,4.5,2,4.6
5,5,The Tap Brewing Company,42.7727232,-71.0852745,4.3,The Tap Brewing Company,3.5,193,3.9
6,6,Upstream Brewing Company,41.254724,-95.930883,4.3,Upstream Brewing Co.,3.5,647,3.9
8,8,War Horse Brewing Company,42.8234105,-76.92295969999999,4.5,War Horse Brewing Company,4.0,12,4.25
12,12,Santa Cruz Mountain Brewing,36.9591246,-122.0481543,4.6,Santa Cruz Mountain Brewing,4.0,360,4.3
14,14,San Pedro Brewing Company,33.7385347,-118.2842157,4.4,San Pedro Brewing Company,3.5,484,3.95
15,15,TwoRows Classic Grill,33.092128,-96.6798589,4.4,Nine-Band Brewing,4.0,32,4.2
16,16,Brewco,33.8844674,-118.4110587,4.3,BrewCo,4.0,576,4.15
19,19,Sonoran Brewing Company,33.4486643,-112.016724,4.6,The Phoenix Ale Brewery,4.5,173,4.55
20,20,Gore Range Brewery,39.643762,-106.596242,4,Vail Brewing Company,4.5,55,4.25
21,21,Bitter Root Brewing,46.247208,-114.154306,4.6,Bitter Root Brewing,4.0,81,4.3
24,24,World of Beer Museum Yokohama,35.454655,139.632205,3.5,Yokohama Brewery,4.5,2,4.0
25,25,Shipwrecked Brew Pub & Restaurant,45.0494036,-87.2804757,3.7,Door County Brewing,4.5,91,4.1
28,28,Wynkoop Brewing Company,39.7534005,-104.9984882,4.1,Wynkoop,3.5,1069,3.8
29,29,Brewsters,53.5471128,-113.5216829,4.1,Brewsters Brewing Company & Restaurant,3.5,79,3.8
30,30,Granite Brewery,44.6607599,-63.60588720000001,4.8,Granite Brewery,4.5,2,4.65
31,31,La Conner Brewing Co,48.3917909,-122.4957814,4.4,La Conner Brewing,3.5,226,3.95
32,32,The Lion Brewery Restaurant,43.4668796,-80.52322509999999,4.1,Abe Erb Brewing,3.5,58,3.8
33,33,Olde Stone Brewing Company,44.3052747,-78.31983799999999,4.5,The Publican House Brewery,3.5,3,4.0
34,34,Carlyle Brewing Co.,42.2689619,-89.0906164,4.6,Carlyle Brewing Co,4.0,87,4.3
35,35,Brasserie des Trois Dames,46.8224258,6.5002317,4.6,Les Brasseurs,3.5,9,4.05
36,36,Alcatraz Brewing Company,33.783107,-117.893329,3.8,BJ's Restaurant & Brewhouse,2.5,1037,3.15
38,38,Stensbogaard Bryghus,55.202774,9.993936999999999,0,Indslev Bryggeri,5.0,1,2.5
39,39,Lagunitas Brewing Company,38.2721299,-122.6626671,4.7,Lagunitas Brewing Company,4.5,1792,4.6
40,40,Iron House Brewery,-41.5733788,148.3098386,4.1,Iron House Brewery,4.0,3,4.05
42,42,Hinterland Brewery,44.5032619,-88.0642467,3.8,Hinterland Brewery,4.0,319,3.9
43,43,Otto's Pub and Brewery,40.8110117,-77.912219,4.3,Otto's Pub & Brewery,3.5,400,3.9
