,candidates,debug_log,error_message,status
0,[],{'line': []},,ZERO_RESULTS
1,[],{'line': []},,ZERO_RESULTS
2,"[{'geometry': {'location': {'lat': 38.9512173, 'lng': -92.32797860000001}}, 'id': '2a4cae2eda24a0d7a1475aed8b7cecc5f37379a4', 'name': 'Broadway Brewery', 'rating': 4.3}]",{'line': []},,OK
3,"[{'geometry': {'location': {'lat': 43.521052, 'lng': -114.3158921}}, 'id': '3a53971d087a5c1573775b6c729af5259567e318', 'name': 'Sun Valley Brewing Co', 'rating': 4}]",{'line': []},,OK
4,[],{'line': []},,ZERO_RESULTS
5,"[{'geometry': {'location': {'lat': 39.7534005, 'lng': -104.9984882}}, 'id': '87170c5a51a62f45f5361e357265b6089d8c4370', 'name': 'Wynkoop Brewing Company', 'rating': 4.1}]",{'line': []},,OK
6,"[{'geometry': {'location': {'lat': 43.4668796, 'lng': -80.52322509999999}}, 'id': '0979194cc092958d29527d733680eb3293ec36f7', 'name': 'The Lion Brewery Restaurant', 'rating': 4.1}]",{'line': []},,OK
7,"[{'geometry': {'location': {'lat': 42.2689619, 'lng': -89.0906164}}, 'id': '747b7b5a06b502c693ff01c78e8b4eddaeea7ed4', 'name': 'Carlyle Brewing Co.', 'rating': 4.6}]",{'line': []},,OK
8,"[{'geometry': {'location': {'lat': 44.3052747, 'lng': -78.31983799999999}}, 'id': '2ee8937d72b0f5d85f8b62365e4baf96b3b0469e', 'name': 'Olde Stone Brewing Company', 'rating': 4.5}]",{'line': []},,OK
9,[],{'line': []},,ZERO_RESULTS
10,"[{'geometry': {'location': {'lat': 48.65200859999999, 'lng': -72.4448723}}, 'id': 'd6f80addf706271eabc621fc1fc71ff0c116de02', 'name': 'Microbrasserie La Chouape', 'rating': 4.7}]",{'line': []},,OK
11,"[{'geometry': {'location': {'lat': 41.5853134, 'lng': -93.6209765}}, 'id': 'f49047f0f84bed56941a5a8e0e2fab741beff26a', 'name': 'Court Avenue Restaurant & Brewing Company', 'rating': 4.3}]",{'line': []},,OK
12,"[{'geometry': {'location': {'lat': 34.4167478, 'lng': -119.6957697}}, 'id': '9f7aac9b7d68988fe6469a0d575737239eb6ad8f', 'name': 'Santa Barbara Brewing Company', 'rating': 4.1}]",{'line': []},,OK
13,"[{'geometry': {'location': {'lat': 34.2357747, 'lng': -77.94890869999999}}, 'id': 'bccc9047a11601a8e858d41a33d10432baada379', 'name': 'Front Street Brewery', 'rating': 4.5}]",{'line': []},,OK
14,[],{'line': []},,ZERO_RESULTS
15,"[{'geometry': {'location': {'lat': 44.476539, 'lng': -73.21427899999999}}, 'id': '390803a31ae0dbf794be26e7288d55f24b9f45a2', 'name': 'Zero Gravity Brewpub at American Flatbread', 'rating': 4.7}]",{'line': []},,OK
16,[],{'line': []},,ZERO_RESULTS
17,"[{'geometry': {'location': {'lat': 39.2874294, 'lng': -81.53305540000001}}, 'id': '7a3c34d3528894b62cba2d83a75e3ded637c8675', 'name': 'North End Tavern & Brewery', 'rating': 4.5}]",{'line': []},,OK
18,"[{'geometry': {'location': {'lat': 46.9474933, 'lng': 7.459673500000001}}, 'id': '32d22c96691364a489e5c21edd93f99907baaa00', 'name': 'Altes Tramdepot Brauerei & Restaurant', 'rating': 4.1}]",{'line': []},,OK
19,"[{'geometry': {'location': {'lat': 53.5471128, 'lng': -113.5216829}}, 'id': 'd29efea7bdc4e11fffbbaa1dde5222e79764c491', 'name': 'Brewsters', 'rating': 4.1}]",{'line': []},,OK
20,"[{'geometry': {'location': {'lat': 55.202774, 'lng': 9.993936999999999}}, 'id': '5c72b5d21cebebdc7d96ab969ca8c19f295b779b', 'name': 'Stensbogaard Bryghus', 'rating': 0}]",{'line': []},,OK
21,"[{'geometry': {'location': {'lat': 41.254724, 'lng': -95.930883}}, 'id': 'aae0251ffe80ac69835dfcd260e791025a14f9e8', 'name': 'Upstream Brewing Company', 'rating': 4.3}]",{'line': []},,OK
22,[],{'line': []},,ZERO_RESULTS
23,"[{'geometry': {'location': {'lat': 33.783107, 'lng': -117.893329}}, 'id': '0a27bca1fa81736ed119c3e50cbcefeee7240699', 'name': 'Alcatraz Brewing Company', 'rating': 3.8}]",{'line': []},,OK
24,"[{'geometry': {'location': {'lat': 48.3917909, 'lng': -122.4957814}}, 'id': 'a50ea5ff3e8faa7d445de6286f35d043a0255333', 'name': 'La Conner Brewing Co', 'rating': 4.4}]",{'line': []},,OK
25,"[{'geometry': {'location': {'lat': 39.643762, 'lng': -106.596242}}, 'id': '86209040677f7ace7a1151265031976275c9d5c3', 'name': 'Gore Range Brewery', 'rating': 4}]",{'line': []},,OK
26,"[{'geometry': {'location': {'lat': 32.0670288, 'lng': 34.7865586}}, 'id': '23e7d86cc02bdcd2234491ebf1fba46a8fe4e031', 'name': 'The Dancing Camel', 'rating': 4.5}]",{'line': []},,OK
27,[],{'line': []},,ZERO_RESULTS
28,"[{'geometry': {'location': {'lat': 46.09308660000001, 'lng': -118.2654056}}, 'id': '17d50100b6f04404ef271b332c534e998592dcf0', 'name': 'Burwood Brewing Company', 'rating': 4.7}]",{'line': []},,OK
29,"[{'geometry': {'location': {'lat': 40.800905, 'lng': -76.861308}}, 'id': '67414d44ea06df428afce008d67bf419c14896a5', 'name': ""Selin's Grove Brewing Company"", 'rating': 4.7}]",{'line': []},,OK
30,[],{'line': []},,ZERO_RESULTS
31,[],{'line': []},,ZERO_RESULTS
32,"[{'geometry': {'location': {'lat': 35.2183676, 'lng': -111.5862777}}, 'id': 'ba21c9e4765368806ee74b16769a5134f4cad856', 'name': 'Historic Brewing Company', 'rating': 4.1}]",{'line': []},,OK
33,"[{'geometry': {'location': {'lat': 49.22455069999999, 'lng': -124.0353147}}, 'id': 'cbeb6c48647fa4bd6d2344f6ae1418da1f669ca5', 'name': 'Longwood Brew Pub', 'rating': 4.4}]",{'line': []},,OK
34,[],{'line': []},,ZERO_RESULTS
35,"[{'geometry': {'location': {'lat': 37.44151069999999, 'lng': -122.1685813}}, 'id': '2b2887a4ca6d7e1e5abd1970ba8d1fdc9225fbad', 'name': 'Stanford Blood Draw at Hoover Pavilion', 'rating': 4.8}, {'geometry': {'location': {'lat': 35.4872651, 'lng': -120.667223}}, 'id': '99458dd34ce9abaf12307a3298b49b73c96b5bda', 'name': 'Hoovers 101 Cafe', 'rating': 0}]",{'line': []},,OK
36,[],{'line': []},,ZERO_RESULTS
37,"[{'geometry': {'location': {'lat': 40.8110117, 'lng': -77.912219}}, 'id': '6f6839199f3dc46d99cbd94873ce62667243fecb', 'name': ""Otto's Pub and Brewery"", 'rating': 4.3}]",{'line': []},,OK
38,"[{'geometry': {'location': {'lat': 38.2586621, 'lng': -122.0600408}}, 'id': '82e866592b62f537b3258c2d4c032749c46e28c3', 'name': 'Blue Frog Grog & Grill', 'rating': 4.1}]",{'line': []},,OK
39,[],{'line': []},,ZERO_RESULTS
40,"[{'geometry': {'location': {'lat': 42.7727232, 'lng': -71.0852745}}, 'id': '6f6144591b0fe912b48a63e049c8b6fd1b5906b7', 'name': 'The Tap Brewing Company', 'rating': 4.3}]",{'line': []},,OK
41,[],{'line': []},,ZERO_RESULTS
42,[],{'line': []},,ZERO_RESULTS
43,[],{'line': []},,ZERO_RESULTS
44,"[{'geometry': {'location': {'lat': 49.270502, 'lng': -123.135661}}, 'id': '1e4a1d2e65f9c5a3238c5db263e15cf00bbe5859', 'name': 'Granville Island Brewing', 'rating': 4.3}]",{'line': []},,OK
45,"[{'geometry': {'location': {'lat': 40.11184, 'lng': -76.50296}}, 'id': 'c3d892e3c5bb3064bc7e53bf52d8b75622ec784c', 'name': ""Bube's Brewery Dining & Entertainment"", 'rating': 3.9}]",{'line': []},,OK
46,"[{'geometry': {'location': {'lat': 38.7840019, 'lng': -121.3060849}}, 'id': '9a3717ee5e2dfc5ce5eee45f590ab15f8ba4e851', 'name': ""Beermann's Beerwerks Brewery"", 'rating': 0}, {'geometry': {'location': {'lat': 38.891707, 'lng': -121.292073}}, 'id': 'eaf82489f535f774567c4317d0a6d489cf7b8cd7', 'name': ""Beermann's Brewery"", 'rating': 3.9}]",{'line': []},,OK
47,"[{'geometry': {'location': {'lat': 37.6420181, 'lng': -120.9999995}}, 'id': '86f53e0908efa2057ac323329bcd0479c1335fa6', 'name': ""St. Stan's Brewing - Restaurant & Brick Oven Pizza Pub"", 'rating': 4.5}]",{'line': []},,OK
48,[],{'line': []},,ZERO_RESULTS
49,[],{'line': []},,ZERO_RESULTS
50,"[{'geometry': {'location': {'lat': 36.9591246, 'lng': -122.0481543}}, 'id': '5375bfa616c5416fea8af725b0b670dc8972d751', 'name': 'Santa Cruz Mountain Brewing', 'rating': 4.6}]",{'line': []},,OK
51,"[{'geometry': {'location': {'lat': 38.950139, 'lng': -92.332031}}, 'id': '610a8d76db0b5330b2fb17bb72e5135604c894d1', 'name': 'Flat Branch Pub & Brewing', 'rating': 4.5}]",{'line': []},,OK
52,[],{'line': []},,ZERO_RESULTS
53,"[{'geometry': {'location': {'lat': 41.232792, 'lng': -96.08331199999999}}, 'id': 'a42cbe2a64c863d26a5586acb977302cd30a4c2c', 'name': 'The Jaipur', 'rating': 4.4}]",{'line': []},,OK
54,[],{'line': []},,ZERO_RESULTS
55,[],{'line': []},,ZERO_RESULTS
56,"[{'geometry': {'location': {'lat': 40.8152364, 'lng': -96.71080669999999}}, 'id': '901d573f332aea885985248a960389d456e71403', 'name': 'Empyrean Brewing Co', 'rating': 3.9}]",{'line': []},,OK
57,"[{'geometry': {'location': {'lat': 61.217774, 'lng': -149.8966669}}, 'id': '6f2871dd4a3334b0c183a657f91059214ef13037', 'name': 'Glacier Brewhouse', 'rating': 4.3}]",{'line': []},,OK
58,[],{'line': []},,ZERO_RESULTS
59,"[{'geometry': {'location': {'lat': -32.056163, 'lng': 115.7486826}}, 'id': '8aa15f4b78bc33027bbbee8b7c5035c5602ab48d', 'name': 'Sail and Anchor', 'rating': 4.1}]",{'line': []},,OK
60,[],{'line': []},,ZERO_RESULTS
61,"[{'geometry': {'location': {'lat': 51.3167244, 'lng': 0.8916246}}, 'id': '554c9a009a59e76ed9b9b048d2c39c84ce9c84a0', 'name': 'Shepherd Neame Brewery', 'rating': 4.4}]",{'line': []},,OK
62,"[{'geometry': {'location': {'lat': 41.5074806, 'lng': -90.5667955}}, 'id': '894fb9bb6401308e9aafd041a56705ca79d26f54', 'name': 'Bent River Brewing Company', 'rating': 4.7}, {'geometry': {'location': {'lat': 41.5060408, 'lng': -90.5170741}}, 'id': '1562a220ad300f3005384b301acce045a4909cde', 'name': 'Bent River Brewing Co', 'rating': 4.3}]",{'line': []},,OK
63,"[{'geometry': {'location': {'lat': 35.454655, 'lng': 139.632205}}, 'id': 'ce269ab66dddb514c30c6feed5e406d15223eb25', 'name': 'World of Beer Museum Yokohama', 'rating': 3.5}]",{'line': []},,OK
64,"[{'geometry': {'location': {'lat': 37.9859758, 'lng': -122.5839888}}, 'id': 'd78577dae3d6e50749375fcd4ce0b46d33d66211', 'name': 'Iron Springs Pub & Brewery', 'rating': 4.3}, {'geometry': {'location': {'lat': 37.9473862, 'lng': -122.509629}}, 'id': 'fd3a9adafdd2e07acc82c88b77e6357d9420c4f0', 'name': 'Marin Brewing Company', 'rating': 3.7}]",{'line': []},,OK
65,"[{'geometry': {'location': {'lat': 50.2616995, 'lng': -119.2689322}}, 'id': 'd92a2a6e58d0653c4ae010fea8fed7227e85cabf', 'name': 'Okanagan Spring Brewery', 'rating': 3.8}]",{'line': []},,OK
66,[],{'line': []},,ZERO_RESULTS
67,[],{'line': []},,ZERO_RESULTS
68,"[{'geometry': {'location': {'lat': 47.12207900000001, 'lng': -88.568758}}, 'id': 'd6313fdb9bbb90ecbe3c2c8cffe093c3c1623597', 'name': 'Keweenaw Brewing Company Taproom', 'rating': 4.8}]",{'line': []},,OK
69,"[{'geometry': {'location': {'lat': 51.5441851, 'lng': -0.008883799999999999}}, 'id': '32770e9097c7a49aee6cc547f67953b7f4f60a05', 'name': 'Tap East', 'rating': 4.3}]",{'line': []},,OK
70,"[{'geometry': {'location': {'lat': 45.0494036, 'lng': -87.2804757}}, 'id': '8e8ed63f57ce88ae8f1729e8922db25bba5531a7', 'name': 'Shipwrecked Brew Pub & Restaurant', 'rating': 3.7}]",{'line': []},,OK
71,"[{'geometry': {'location': {'lat': 38.7381794, 'lng': -90.30232559999999}}, 'id': 'f1ccf6ef3b41a7ec2873f0bb06caf63aff4337c6', 'name': 'Ferguson Brewing Company', 'rating': 4.6}]",{'line': []},,OK
72,"[{'geometry': {'location': {'lat': -41.5733788, 'lng': 148.3098386}}, 'id': '290846d7c34911885459aa9444949a8040806690', 'name': 'Iron House Brewery', 'rating': 4.1}]",{'line': []},,OK
73,"[{'geometry': {'location': {'lat': 46.0064013, 'lng': -73.4443502}}, 'id': '8208e36ce12f576f8227498fce9676581e52ebb1', 'name': ""L'Alchimiste"", 'rating': 4.4}]",{'line': []},,OK
74,"[{'geometry': {'location': {'lat': 44.6607599, 'lng': -63.60588720000001}}, 'id': 'e8326d2de9e6f59d5320e445ef0ac3ca8ab1e5d5', 'name': 'Granite Brewery', 'rating': 4.8}]",{'line': []},,OK
